"Month","DayofMonth","PercentDelayed"
"January",1,32
"January",2,38
"January",3,30
"January",4,23
"January",5,28
"January",6,29
"January",7,19
"January",8,19
"January",9,13
"January",10,16
"January",11,18
"January",12,8
"January",13,14
"January",14,13
"January",15,11
"January",16,9
"January",17,27
"January",18,23
"January",19,19
"January",20,15
"January",21,29
"January",22,27
"January",23,19
"January",24,18
"January",25,22
"January",26,15
"January",27,28
"January",28,19
"January",29,18
"January",30,16
"January",31,29
"February",1,35
"February",2,16
"February",3,21
"February",4,30
"February",5,25
"February",6,26
"February",7,20
"February",8,22
"February",9,12
"February",10,23
"February",11,21
"February",12,29
"February",13,31
"February",14,23
"February",15,23
"February",16,18
"February",17,27
"February",18,30
"February",19,20
"February",20,19
"February",21,27
"February",22,40
"February",23,23
"February",24,22
"February",25,19
"February",26,29
"February",27,16
"February",28,13
"February",29,23
"March",1,16
"March",2,19
"March",3,23
"March",4,23
"March",5,20
"March",6,17
"March",7,34
"March",8,36
"March",9,29
"March",10,20
"March",11,13
"March",12,16
"March",13,15
"March",14,22
"March",15,29
"March",16,24
"March",17,20
"March",18,25
"March",19,35
"March",20,25
"March",21,26
"March",22,20
"March",23,14
"March",24,14
"March",25,20
"March",26,14
"March",27,21
"March",28,24
"March",29,17
"March",30,29
"March",31,36
"April",1,26
"April",2,14
"April",3,20
"April",4,37
"April",5,20
"April",6,24
"April",7,16
"April",8,14
"April",9,18
"April",10,30
"April",11,27
"April",12,18
"April",13,16
"April",14,12
"April",15,10
"April",16,10
"April",17,11
"April",18,15
"April",19,12
"April",20,17
"April",21,13
"April",22,10
"April",23,12
"April",24,13
"April",25,19
"April",26,15
"April",27,14
"April",28,22
"April",29,11
"April",30,9
"May",1,13
"May",2,32
"May",3,14
"May",4,13
"May",5,14
"May",6,11
"May",7,17
"May",8,14
"May",9,18
"May",10,11
"May",11,19
"May",12,20
"May",13,12
"May",14,18
"May",15,17
"May",16,22
"May",17,10
"May",18,15
"May",19,15
"May",20,18
"May",21,14
"May",22,24
"May",23,21
"May",24,13
"May",25,7
"May",26,11
"May",27,19
"May",28,12
"May",29,11
"May",30,18
"May",31,19
"June",1,16
"June",2,10
"June",3,19
"June",4,28
"June",5,27
"June",6,25
"June",7,18
"June",8,25
"June",9,28
"June",10,23
"June",11,20
"June",12,21
"June",13,28
"June",14,20
"June",15,27
"June",16,27
"June",17,21
"June",18,16
"June",19,25
"June",20,20
"June",21,20
"June",22,28
"June",23,27
"June",24,19
"June",25,21
"June",26,28
"June",27,29
"June",28,23
"June",29,29
"June",30,18
"July",1,13
"July",2,17
"July",3,15
"July",4,8
"July",5,13
"July",6,25
"July",7,29
"July",8,28
"July",9,24
"July",10,22
"July",11,19
"July",12,22
"July",13,29
"July",14,22
"July",15,15
"July",16,13
"July",17,16
"July",18,19
"July",19,18
"July",20,22
"July",21,20
"July",22,19
"July",23,24
"July",24,28
"July",25,20
"July",26,17
"July",27,25
"July",28,19
"July",29,15
"July",30,17
"July",31,26
"August",1,23
"August",2,24
"August",3,19
"August",4,25
"August",5,23
"August",6,17
"August",7,25
"August",8,20
"August",9,17
"August",10,22
"August",11,23
"August",12,16
"August",13,13
"August",14,18
"August",15,28
"August",16,21
"August",17,15
"August",18,15
"August",19,11
"August",20,17
"August",21,17
"August",22,15
"August",23,13
"August",24,13
"August",25,16
"August",26,17
"August",27,11
"August",28,12
"August",29,17
"August",30,10
"August",31,7
"September",1,8
"September",2,8
"September",3,7
"September",4,10
"September",5,8
"September",6,10
"September",7,9
"September",8,15
"September",9,17
"September",10,8
"September",11,11
"September",12,21
"September",13,15
"September",14,19
"September",15,14
"September",16,8
"September",17,8
"September",18,9
"September",19,10
"September",20,7
"September",21,13
"September",22,10
"September",23,6
"September",24,9
"September",25,13
"September",26,17
"September",27,9
"September",28,13
"September",29,10
"September",30,8
"October",1,7
"October",2,9
"October",3,11
"October",4,7
"October",5,12
"October",6,8
"October",7,9
"October",8,13
"October",9,12
"October",10,12
"October",11,10
"October",12,11
"October",13,10
"October",14,7
"October",15,13
"October",16,14
"October",17,12
"October",18,7
"October",19,11
"October",20,9
"October",21,8
"October",22,12
"October",23,10
"October",24,20
"October",25,11
"October",26,15
"October",27,16
"October",28,13
"October",29,8
"October",30,10
"October",31,9
"November",1,9
"November",2,13
"November",3,9
"November",4,8
"November",5,8
"November",6,15
"November",7,17
"November",8,10
"November",9,14
"November",10,9
"November",11,12
"November",12,13
"November",13,19
"November",14,25
"November",15,12
"November",16,13
"November",17,9
"November",18,7
"November",19,9
"November",20,12
"November",21,16
"November",22,12
"November",23,8
"November",24,9
"November",25,11
"November",26,10
"November",27,7
"November",28,6
"November",29,16
"November",30,42
"December",1,44
"December",2,16
"December",3,13
"December",4,14
"December",5,11
"December",6,10
"December",7,16
"December",8,11
"December",9,15
"December",10,24
"December",11,22
"December",12,18
"December",13,12
"December",14,20
"December",15,30
"December",16,31
"December",17,37
"December",18,37
"December",19,46
"December",20,45
"December",21,50
"December",22,45
"December",23,45
"December",24,41
"December",25,21
"December",26,38
"December",27,46
"December",28,28
"December",29,16
"December",30,19
"December",31,22
